id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
3685|03/02/2010|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
976|23/02/2010|Trabajó al menos una hora||||||Permanente|35 o más horas|mantenimiento paginas web|Obrero o empleado|Total|S|N|N|
4141|05/03/2010|No esta pensando en trabajar|||||||||||N|N|N|
2801|08/03/2010|Trabajó al menos una hora||||||Permanente|35 o más horas|Consultor de Tecnologias (MSSQL, MS Dynamics NAV, JAVA, C#, BI, MOVILE), Analista/Arquitecto/Desarrollador de Software.|Obrero o empleado|Total|S|N|S|
3360|22/03/2010|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
4786|23/03/2010|No esta pensando en trabajar|||||||||||N|N|N|
4929|08/04/2010|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
2267|11/04/2010|Trabajó al menos una hora||||||Temporaria|35 o más horas|Conserje|Obrero o empleado|Sin relación|S|N|S|
4663|20/11/2010|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
889|21/12/2010|||||||||||||||
4127|11/02/2011|No esta pensando en trabajar|||||||||||N|N|N|
3211|12/02/2011|Trabajó al menos una hora||||||Permanente|35 o más horas|Programador|Obrero o empleado|Total|S|N|S|
4502|20/02/2011|No esta pensando en trabajar|||||||||||N|N|N|
3701|26/02/2011|Trabajó al menos una hora||||||Permanente|Mas de 10 y hasta 20 horas|docente|Obrero o empleado|Total|S|N|S|
3217|15/03/2011|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|desarrollador|Obrero o empleado|Total|S|N|S|
3811|29/03/2011|No esta pensando en trabajar|||||||||||N|N|N|
5086|05/04/2011|No esta pensando en trabajar||||||||||||||
4319|15/02/2012|No esta pensando en trabajar|||||||||||N|N|N|
3839|18/02/2012|No esta pensando en trabajar|||||||||||N|N|N|
2490|06/03/2012|No esta pensando en trabajar|||||||||||N|N|N|
5229|16/03/2012|No esta pensando en trabajar|||||||||||N|N|N|
5256|30/03/2012|No esta pensando en trabajar|||||||||||N|N|N|
5387|26/04/2012|No esta pensando en trabajar|||||||||||N|N|N|
5141|25/07/2012|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|la parte administrativa del estudio contable de mi viejo|Obrero o empleado|Sin relación|N|S|S|
2565|27/08/2012|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Desarrollador de sistema|Obrero o empleado|Total|N|N|S|
1445|01/10/2012|Trabajó al menos una hora||||||Permanente|35 o más horas|Desarrollador c++ y IOs|Obrero o empleado|Total|S|N|S|
4675|04/02/2013|No esta pensando en trabajar|||||||||||N|N|N|
3681|04/02/2013|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
3211|06/02/2013|Trabajó al menos una hora||||||Permanente|35 o más horas|Programador|Obrero o empleado|Total|S|N|S|
5134|13/02/2013|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
4477|08/03/2013|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|Ciber|Obrero o empleado|Parcial|N|N|S|
4173|10/03/2013|Trabajó al menos una hora||||||Permanente|35 o más horas|Consultor |Obrero o empleado|Total|S|N|S|
2879|19/03/2013|Trabajó al menos una hora||||||Permanente|35 o más horas|Desarrollador JAVA, C#, Ruby|Obrero o empleado|Total|S|N|S|
5573|08/04/2013|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|Marketing Online|Pasante|Parcial|N|N|S|
5601|10/04/2013|No esta pensando en trabajar||||||||||||||
4785|04/02/2014|No esta pensando en trabajar|||||||||||N|N|N|
4675|10/02/2014|Trabajó al menos una hora||||||Permanente|35 o más horas|Comercio de Agua des-mineralizada - fabricación, logística, y atención al cliente.|Cuenta propia|Sin relación|N|S|N|
