id|carrera|plan|fecha_ingreso|calidad|localidad_nacimiento|colegio_secundario|titulo_secundario
599|206|1988|01/04/1991|E|NECOCHEA|||
537|206|1988|01/04/1991|E||||
557|206|1988|01/04/1991|P||||
571|206|1988|01/04/1991|P||||
570|206|1988|01/04/1991|E|TANDIL|||
611|206|1988|01/04/1992|P|GENERAL PIRAN|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
611|212|2007|29/08/2016|P|GENERAL PIRAN|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
611|213|2014|29/08/2016|P|GENERAL PIRAN|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
624|206|1988|01/04/1992|P||COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO|BACHILLER|
643|206|S95|01/04/1992|P||||
3503|211|2004|26/04/2004|P||||
677|206|1988|01/04/1992|E|TANDIL|||
657|206|1988|01/04/1992|E|TANDIL|ESCUELA NACIONAL DE EDUCACION TECNICA Nº 1 ¨ING. FELIPE SENILLOSA¨|TÉCNICO EN COMPUTACION|
668|206|1988|01/04/1992|P|TANDIL|ESC. NORMAL REGIONAL GENERAL SAN MARTIN|Bachiller Pedagógico|
750|206|1988|01/04/1993|E|Ciudad Autónoma de Buenos Aires|||
787|206|1988|01/04/1993|E|AZUL|||
760|206|1988|01/04/1993|E||||
817|206|1988|01/04/1993|E|VICENTE LOPEZ|||
736|206|1988|01/04/1993|E||||
738|206|S95|01/04/1993|P||||
815|206|S95|01/04/1993|E|TANDIL|||
739|206|S95|01/04/1993|P|BOLIVAR|ESCUELA AGROTECNICA EJERCITO ARGENTINO |BACHILLER MERCANTIL|
778|206|1988|01/04/1993|E||||
841|206|1988|01/04/1993|P||||
753|206|1988|01/04/1993|P||||
724|206|1988|01/04/1993|E||||
926|206|S95|01/04/1994|P|OLAVARRIA|||
850|206|S95|01/04/1994|E|MAR DEL PLATA|ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO|TÉCNICO ELECTRONICO|
856|206|1988|01/04/1994|P||||
912|206|S95|01/04/1994|E||||
885|206|S95|01/04/1994|N|RIO COLORADO||TÉCNICO MECANICO ELECTRICISTA|
855|206|S95|01/04/1994|P|MAR DEL PLATA|||
889|206|S95|01/04/1994|E||||
976|206|S95|01/04/1994|P|AZUL|EL TRANSITO DE NUESTRA SEÑORA|PERITO MERCANTIL|
976|210|2000|01/04/1994|P|AZUL|EL TRANSITO DE NUESTRA SEÑORA|PERITO MERCANTIL|
922|206|S95|01/04/1994|P|RAUCH|||
929|206|1988|01/04/1994|P|GENERAL PIRAN|||
980|204|1995|01/04/1994|E||PROFESOR JAVIER FROILAN FERRERO|BACHILLER|
940|206|1988|01/04/1994|P||||
859|206|1988|01/04/1994|P||||
993|206|S95|01/04/1994|P|LANUS|||
1017|206|1988|01/04/1994|P|Ciudad Autónoma de Buenos Aires|||
1136|206|S95|01/04/1995|P|Ciudad Autónoma de Buenos Aires|AGROINDUSTRIAL MONSEÑOR DR. JUAN ANTONIO VIDELA CUELLO|BACHILLER|
1101|206|S95|01/04/1995|P|AZUL|||
244|206|1988|01/04/1995|E||||
1173|206|S95|01/04/1995|P|LOS ANGELES|EL TRANSITO DE NUESTRA SEÑORA|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
1124|204|1995|01/04/1995|N|Ciudad Autónoma de Buenos Aires|||
1124|206|S95|01/04/1995|N|Ciudad Autónoma de Buenos Aires|||
440|206|1988|01/04/1995|P||||
1026|201|1999|01/04/1995|N|||TÉCNICO EN ARTESANIAS APLICADAS|
1026|205|1995|01/04/1995|E|||TÉCNICO EN ARTESANIAS APLICADAS|
1175|206|S95|01/04/1995|P|TANDIL|||
781|206|1988|01/04/1995|P||||
1063|206|S95|01/04/1995|P|VELA (MARIA IGNACIA)|COLEGIO SEC.AUGUSTO PULENTA|TÉCNICO EN COMPUTACION|
1063|212|2007|12/03/2014|P|VELA (MARIA IGNACIA)|COLEGIO SEC.AUGUSTO PULENTA|TÉCNICO EN COMPUTACION|
1040|206|S95|01/04/1995|P|VILLA GESELL|||
157|206|1988|01/04/1995|P||||
1115|201|1999|01/04/1995|N|TANDIL|||
1115|204|1995|01/04/1995|N|TANDIL|||
1035|206|S95|01/04/1995|P|TANDIL|||
1153|206|S95|01/04/1995|P|LAPRIDA|||
1025|206|S95|01/04/1995|N|TANDIL|||
1025|209|1998|01/04/1995|N|TANDIL|||
1130|206|S95|01/04/1995|E|AZUL|||
768|206|1988|01/04/1995|P||||
1215|204|1995|01/04/1996|P|TANDIL|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER|
1215|206|S95|01/04/1996|P|TANDIL|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER|
1274|206|S95|01/04/1996|P|PERGAMINO|||
883|201|1999|01/04/1996|P|BOLIVAR||BACHILLER CON ORIENTACION DOCENTE|
883|204|2003|01/04/1996|P|BOLIVAR||BACHILLER CON ORIENTACION DOCENTE|
883|203|1999|12/05/2005|P|BOLIVAR||BACHILLER CON ORIENTACION DOCENTE|
1209|206|S95|01/04/1996|P|MAR DEL PLATA|||
1378|206|S95|01/04/1996|P|TANDIL|||
1356|206|S95|01/04/1996|P|MAR DEL PLATA|||
1196|206|S95|01/04/1996|P|OLAVARRIA|||
1423|206|S95|01/04/1996|P|MAR DEL PLATA|||
1385|206|S95|01/04/1996|E|LANUS|TORIBIO DE LUZURIAGA|BACHILLER CON ORIENTACION EN INFORMATICA|
1195|206|S95|01/04/1996|P|ADOLFO GONZALES CHAVES|||
1318|206|S95|01/04/1996|P|TANDIL|||
1343|206|S95|01/04/1996|E||||
1242|206|S95|01/04/1996|P|AVELLANEDA|||
1322|206|S95|01/04/1996|P|MAR DEL PLATA|||
1417|206|S95|01/04/1996|P|MAR DEL PLATA|||
1231|206|S95|01/04/1996|P|TANDIL|||
1290|206|S95|01/04/1996|E|BOLIVAR|ALEJO CARMEN GUZMANº|BACHILLER MERCANTIL|
1278|206|S95|01/04/1996|P|Ciudad Autónoma de Buenos Aires|||
1191|206|S95|01/04/1996|P|OLAVARRIA|||
1280|206|S95|01/04/1996|P|AZUL|||
1201|206|S95|01/04/1996|P|JUAN N. FERNANDEZ|COLEGIO MONSEÑOR JOSE AMERICO ORZALI|PERITO MERCANTIL|
1201|212|2007|20/09/2007|P|JUAN N. FERNANDEZ|COLEGIO MONSEÑOR JOSE AMERICO ORZALI|PERITO MERCANTIL|
1222|206|S95|01/04/1996|E|PIGUE|SAN PABLO|BACHILLER|
1316|206|S95|01/04/1996|P|MAR DEL PLATA|BACHILLER NACIONAL SAN JUAN|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
