id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
888|01/04/2002|||||N|||||||||||||||||
896|06/02/2003|||||N|||||||||||||||||
899|01/04/2002|||||N|||||||||||||||||
908|01/04/2002|||||N|||||||||||||||||
910|20/02/2004|N||S||N|||||||||||||||||
918|01/04/2002|||||N|||||||||||||||||
919|02/02/2006|N||S||N|N|N|N||||||||||||||
934|01/03/2007|N||S||N|N|N|N||||||||||||||
934|27/11/2002|||||N|||||||||||||||||
952|21/03/1995|||||N|||||||||||||||||
953|01/04/2002|||||N|||||||||||||||||
954|01/04/2002|||||N|||||||||||||||||
957|01/02/2006|N||S||N|N|N|N||||||||||||||
957|13/02/2007|N||S||N|N|N|N||||||||||||||
959|01/04/2002|||||N|||||||||||||||||
960|19/03/2004|||||N|||||||||||||||||
970|01/04/2002|||||N|||||||||||||||||
973|01/03/2004|N||S||N|||||||||||||||||
979|03/02/2003|||||N|||||||||||||||||
991|01/04/2002|||||N|||||||||||||||||
992|22/03/2005|S||S||N|N|N|N||||||||||||||
1001|01/04/2002|||||N|||||||||||||||||
1003|01/04/2002|||||N|||||||||||||||||
1014|01/04/2002|||||N|||||||||||||||||
1017|01/04/2002|||||N|||||||||||||||||
1018|13/02/2003|||||N|||||||||||||||||
1026|01/04/2002|||||N|||||||||||||||||
1033|01/04/2002|||||N|||||||||||||||||
1040|01/04/2002|||||N|||||||||||||||||
1044|01/04/2002|||||N|||||||||||||||||
1051|01/04/2002|||||N|||||||||||||||||
1052|01/04/2002|||||N|||||||||||||||||
1074|01/08/2006|N||S||N|N|N|N||||||||||||||
