id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
1328|20/02/2009|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1343|20/04/2017|||||N|||||||||||||||||
1350|01/04/2002|||||N|||||||||||||||||
1356|01/04/2002|||||N|||||||||||||||||
1378|01/04/2002|||||N|||||||||||||||||
1385|07/03/2006|S||S||N|N|N|N||||||||||||||
1387|01/04/2002|||||N|||||||||||||||||
1417|01/04/2002|||||N|||||||||||||||||
1423|01/04/2002|||||N|||||||||||||||||
1428|06/03/2004|S||N||N|||||||||||||||||
1435|08/03/2004|N||S||N|||||||||||||||||
1438|01/04/2002|||||N|||||||||||||||||
1445|01/10/2012|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1456|01/04/2002|||||N|||||||||||||||||
1464|20/04/2017|N||S||S|S||||||||||||||||
1479|01/04/2002|||||N|||||||||||||||||
1516|01/04/2002|||||N|||||||||||||||||
1520|01/04/2002|||||N|||||||||||||||||
1521|01/04/2002|||||N|||||||||||||||||
1524|21/06/2022|||||N|||||||||||||||||
1525|01/04/2002|||||N|||||||||||||||||
1553|01/04/2002|||||N|||||||||||||||||
1561|01/04/2002|||||N|||||||||||||||||
1580|01/04/2002|||||N|||||||||||||||||
1594|01/04/2002|||||N|||||||||||||||||
1599|01/04/2002|||||N|||||||||||||||||
1603|01/04/2002|||||N|||||||||||||||||
1619|04/03/2003|||||N|||||||||||||||||
1629|06/12/2002|||||N|||||||||||||||||
1646|20/04/2017|S||N||N|N|N|N||||||||||||||
1682|19/03/2019|N|N|S|N||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1688|01/04/2002|||||N|||||||||||||||||
1696|20/03/2014|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1703|05/08/2006|N||S||N|N|N|N||||||||||||||
1705|01/04/2002|||||N|||||||||||||||||
1727|21/06/2022|||||N|||||||||||||||||
1737|01/04/2002|||||N|||||||||||||||||
1753|06/12/2002|||||N|||||||||||||||||
1759|01/04/2002|||||N|||||||||||||||||
1762|01/04/2002|||||N|||||||||||||||||
1786|09/02/2010|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1794|23/02/2022|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1811|01/04/2002|||||N|||||||||||||||||
1833|07/03/2004|S||N||N|N|N|N||||||||||||||
1863|20/04/2017|S||N||N|N|N|N||||||||||||||
1882|01/04/2002|||||N|||||||||||||||||
1895|21/06/2022|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1916|08/03/2004|N||S||N|N|N|N||||||||||||||
1919|26/06/2019|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1921|07/03/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1923|01/04/2002|||||N|||||||||||||||||
1947|06/03/2012|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1972|24/02/2015|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1992|01/04/2002|||||N|||||||||||||||||
1993|12/03/2004|S||N||N|||||||||||||||||
1998|23/02/2007|N||S||N|N|N|N||||||||||||||
2002|01/04/2002|||||N|||||||||||||||||
2009|18/06/2009|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2012|07/03/2006|S||S||N|N|N|N||||||||||||||
2021|04/08/2005|S||N||N|N|N|N||||||||||||||
2031|01/04/2002|||||N|||||||||||||||||
2036|27/05/2013|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2046|27/11/2002|||||N|||||||||||||||||
2047|20/04/2017|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2056|05/07/2004|||||N|||||||||||||||||
2064|13/03/2009|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2078|18/12/2002|||||N|||||||||||||||||
2097|20/04/2017|S||S||N|N|N|N||||||||||||||
2099|16/02/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2106|01/04/2002|||||N|||||||||||||||||
2112|01/04/2002|||||N|||||||||||||||||
2115|02/10/2008|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2118|01/04/2002|||||N|||||||||||||||||
2148|09/12/2002|||||N|||||||||||||||||
2149|01/04/2002|||||N|||||||||||||||||
2157|20/04/2017|S||S||N|N|N|N||||||||||||||
2160|20/04/2017|N||S||N|N|N|N||||||||||||||
2166|27/02/2009|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2171|16/02/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2177|01/04/2002|||||N|||||||||||||||||
2185|09/03/2010|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2188|09/08/2019|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2240|01/04/2002|||||N|||||||||||||||||
2247|10/02/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2250|10/02/2004|S||N||N|||||||||||||||||
2251|01/04/2002|||||N|||||||||||||||||
2252|01/04/2002|||||N|||||||||||||||||
2254|07/03/2011|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2258|09/12/2002|||||N|||||||||||||||||
2259|01/04/2002|||||N|||||||||||||||||
2267|11/04/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2279|01/04/2017|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2285|26/04/2004|||||N|||||||||||||||||
3534|26/04/2004|||||N|||||||||||||||||
2305|04/11/2008|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2313|01/04/2002|||||N|||||||||||||||||
2317|01/04/2002|||||N|||||||||||||||||
2318|11/02/2003|||||N|||||||||||||||||
2329|01/04/2002|||||N|||||||||||||||||
2335|12/02/2003|||||N|||||||||||||||||
2342|03/03/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2348|01/04/2002|||||N|||||||||||||||||
2393|06/03/2007|||||N|||||||||||||||||
2397|01/04/2002|||||N|||||||||||||||||
2399|01/04/2002|||||N|||||||||||||||||
2403|17/12/2002|||||N|||||||||||||||||
2407|01/04/2002|||||N|||||||||||||||||
2408|01/04/2002|||||N|||||||||||||||||
2411|03/03/2009|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2418|21/06/2022|S|N|S|S|S|S|N|N|N|N|N|N|N|S|N|N|N|N|N|N||
2419|28/11/2012|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2443|11/02/2019|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2445|01/04/2002|||||N|||||||||||||||||
2446|09/03/2018|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2475|01/02/2021|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2477|01/04/2002|||||N|||||||||||||||||
2483|01/04/2002|||||N|||||||||||||||||
2485|01/04/2002|||||N|||||||||||||||||
2490|06/03/2012|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2497|01/04/2002|||||N|||||||||||||||||
2549|03/06/2004|N||S||N|N|N|N||||||||||||||
2554|01/04/2002|||||N|||||||||||||||||
2561|01/04/2002|||||N|||||||||||||||||
2565|27/08/2012|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2569|11/04/2003|||||N|||||||||||||||||
2580|27/04/2006|S||N||N|N|N|N||||||||||||||
2586|03/02/2007|S||N||N|N|N|N||||||||||||||
2590|01/04/2002|||||N|||||||||||||||||
2595|01/04/2002|||||N|||||||||||||||||
2613|19/02/2004|N||S||N|N|N|N||||||||||||||
2618|22/03/2011|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2631|10/05/2012|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2641|17/08/2005|S||N||N|N|N|N||||||||||||||
2645|29/03/2004|S||N||N|N|N|N||||||||||||||
2649|01/04/2002|||||N|||||||||||||||||
2656|21/06/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2689|05/03/2018|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2704|12/04/2002|||||N|||||||||||||||||
2714|02/03/2017|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2721|20/03/2017|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2724|20/04/2017|S||S||N|N|N|N||||||||||||||
2733|17/02/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2748|16/10/2014|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2754|18/12/2002|||||N|||||||||||||||||
2793|12/02/2009|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2798|12/04/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2801|28/04/2011|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2805|27/02/2006|N||S||N|N|N|N||||||||||||||
2823|18/08/2005|N||S||N|N|N|N||||||||||||||
2845|09/06/2014||||||||||||||||||||||
2852|23/02/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2858|10/01/2016|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2863|03/02/2004|S||S||N|||||||||||||||||
2874|08/02/2004|S||N||N|||||||||||||||||
2879|30/09/2016|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2928|04/03/2008|S||S||N|N|N|N||||||||||||||
