id|fecha_relevamiento|practica_deportes|hace_dep_gim_priv|hace_dep_univ|hace_dep_partic|hace_dep_otros|prac_dep_basquet|prac_dep_natacion|prac_dep_futbol|prac_dep_gimnasia|prac_dep_tenis|prac_dep_handball|prac_dep_voley|prac_dep_otros|
1882|01/04/2002||||||||||||||
1895|21/06/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
1916|08/03/2004|N|||||||||||||
1919|26/06/2019|S|S|N|N|N|N|N|N|N|N|N|N|S|
1921|07/03/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
1923|01/04/2002||||||||||||||
1947|06/03/2012|S|S|N|S|N|N|N|S|N|N|N|N|S|
1972|24/02/2015|S|S|N|N|N|N|N|N|S|N|N|N|N|
1992|01/04/2002||||||||||||||
1993|12/03/2004|S||||S|||S||||||
1998|23/02/2007|N|||||||||||||
2002|01/04/2002||||||||||||||
2009|18/06/2009|S|N|N|S|N|N|N|S|N|S|N|N|S|
2012|07/03/2006|S||||S||||||||S|
2021|04/08/2005|N|||||||||||||
2031|01/04/2002||||||||||||||
2036|27/05/2013|N|N|N|N|N|N|N|N|N|N|N|N|N|
2046|27/11/2002||||||||||||||
2047|20/04/2017|N|N|N|N|N|N|N|N|N|N|N|N|N|
2056|05/07/2004||||||||||||||
2064|13/03/2009|S|S|N|S|N|N|N|N|S|N|N|N|S|
2078|18/12/2002||||||||||||||
2097|20/04/2017|S|||S||||S|||||S|
2099|16/02/2010|S|S|N|N|N|N|N|N|S|N|N|N|S|
2106|01/04/2002||||||||||||||
2112|01/04/2002||||||||||||||
2115|02/10/2008|N|N|N|N|N|N|N|N|N|N|N|N|N|
2118|01/04/2002||||||||||||||
2148|09/12/2002||||||||||||||
2149|01/04/2002||||||||||||||
2157|20/04/2017|S|S|S||||||S|||||
2160|20/04/2017|N|||||||||||||
2166|27/02/2009|S|S|N|N|N|N|N|N|N|N|N|N|N|
2171|16/02/2010|S|S|N|N|N|N|N|N|N|N|N|N|S|
2177|01/04/2002||||||||||||||
2185|09/03/2010|S|N|N|S|S|N|N|S|N|N|N|N|S|
2188|09/08/2019|S|N|N|N|S|N|N|N|N|N|N|N|S|
2240|01/04/2002||||||||||||||
2247|10/02/2022|S|N|N|S|N|N|S|N|S|N|N|N|S|
2250|10/02/2004|S|S|||||||||||S|
2251|01/04/2002||||||||||||||
2252|01/04/2002||||||||||||||
2254|07/03/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
2258|09/12/2002||||||||||||||
2259|01/04/2002||||||||||||||
2267|11/04/2010|S|S|N|N|N|N|N|N|N|N|N|N|S|
2279|01/04/2017|S|S|N|N|N|N|N|N|N|N|N|N|S|
2285|26/04/2004||||||||||||||
3534|26/04/2004||||||||||||||
2305|04/11/2008|S|S|N|N|N|N|N|N|N|N|N|N|N|
2313|01/04/2002||||||||||||||
2317|01/04/2002||||||||||||||
2318|11/02/2003||||||||||||||
2329|01/04/2002||||||||||||||
2335|12/02/2003||||||||||||||
2342|03/03/2010|S|N|N|S|N|N|N|S|S|N|N|N|N|
2348|01/04/2002||||||||||||||
2393|06/03/2007||||||||||||||
2397|01/04/2002||||||||||||||
2399|01/04/2002||||||||||||||
2403|17/12/2002||||||||||||||
2407|01/04/2002||||||||||||||
2408|01/04/2002||||||||||||||
